Player,Pos,Age,Tm,G,FG,FG%,eFG%,PTS
Ivica Zubac,C,25,LAC,76,4.3,.634,.634,10.8
Mike Conley,PG,35,UTA,43,3.6,.408,.511,10.7
Talen Horton-Tucker,SG,22,UTA,65,4.0,.419,.467,10.7
Victor Oladipo,SG,30,MIA,42,3.8,.397,.484,10.7
Jalen McDaniels,SF,25,CHO,56,3.9,.447,.513,10.6
Svi Mykhailiuk,SF,25,CHO,19,3.7,.441,.553,10.6
Cam Thomas,SG,21,BRK,57,3.5,.441,.497,10.6
Jeenathan Williams,SG,23,POR,5,4.8,.615,.654,10.6
Moritz Wagner,C,25,ORL,57,3.5,.500,.564,10.5
Grayson Allen,SG,27,MIL,72,3.4,.440,.571,10.4
Killian Hayes,PG,21,DET,76,4.0,.377,.426,10.3
Tyus Jones,PG,26,MEM,80,3.9,.438,.523,10.3
Monte Morris,PG,27,WAS,62,4.0,.480,.555,10.3
Cameron Payne,PG,28,PHO,48,3.9,.415,.490,10.3
Malaki Branham,SG,19,SAS,66,4.1,.440,.503,10.2
Josh Hart,SF,27,NYK,25,3.7,.586,.672,10.2
Reggie Jackson,PG,32,TOT,68,3.9,.411,.486,10.2
Doug McDermott,SF,31,SAS,64,3.7,.457,.575,10.2
Patrick Williams,PF,21,CHI,82,3.8,.464,.549,10.2
De'Anthony Melton,SG,24,PHI,77,3.6,.425,.546,10.1
Aaron Nesmith,SF,23,IND,73,3.5,.427,.525,10.1
Josh Richardson,SG,29,TOT,65,3.7,.431,.528,10.1
Brandon Clarke,PF,26,MEM,56,4.1,.656,.658,10
James Wiseman,C,21,TOT,45,4.2,.558,.563,10
Jonathan Kuminga,PF,20,GSW,67,3.9,.525,.579,9.9
Onyeka Okongwu,C,22,ATL,80,4.0,.638,.642,9.9
Luka Šamanić,PF,23,UTA,7,3.7,.456,.526,9.9
Shaedon Sharpe,SG,19,POR,80,3.8,.472,.551,9.9
Jalen Suggs,SG,21,ORL,53,3.5,.419,.493,9.9
Thomas Bryant,C,25,TOT,59,3.9,.623,.659,9.8
Josh Hart,SF,27,TOT,76,3.6,.529,.588,9.8
Al Horford,C,36,BOS,63,3.6,.476,.627,9.8
Herbert Jones,PF,24,NOP,66,3.6,.469,.525,9.8
Keita Bates-Diop,PF,27,SAS,67,3.5,.508,.568,9.7
Julian Champagnie,SF,21,TOT,17,3.5,.454,.581,9.7
Eugene Omoruyi,SF,25,DET,17,3.4,.425,.489,9.7
Cam Reddish,SF,23,TOT,40,3.5,.446,.518,9.7
Coby White,SG,22,CHI,74,3.6,.443,.551,9.7
Rui Hachimura,PF,24,LAL,33,3.8,.485,.525,9.6
Caleb Martin,SF,27,MIA,71,3.6,.464,.540,9.6
Josh Hart,SF,27,POR,51,3.6,.504,.551,9.5
Isaiah Joe,SG,23,OKC,73,3.1,.441,.599,9.5
Andrew Nembhard,SG,23,IND,75,3.8,.441,.512,9.5
T.J. Warren,PF,29,BRK,26,3.9,.510,.550,9.5
Kyle Anderson,PF,29,MIN,69,3.7,.509,.553,9.4
Chris Boucher,PF,30,TOR,76,3.4,.493,.552,9.4
Donte DiVincenzo,SG,26,GSW,72,3.3,.435,.574,9.4
Jalen McDaniels,SF,25,TOT,80,3.5,.455,.518,9.4
Jalen Smith,C,22,IND,68,3.6,.476,.530,9.4
Gabe Vincent,PG,26,MIA,68,3.4,.402,.505,9.4
Hamidou Diallo,SF,24,DET,56,3.8,.573,.580,9.3
Tari Eason,PF,21,HOU,82,3.6,.448,.493,9.3
Luke Kennard,SG,26,TOT,59,3.2,.492,.666,9.3
Precious Achiuwa,C,23,TOR,55,3.6,.485,.521,9.2
Deni Avdija,SF,22,WAS,76,3.3,.437,.497,9.2
Seth Curry,SG,32,BRK,61,3.4,.463,.568,9.2
Walker Kessler,C,21,UTA,74,4.0,.720,.721,9.2
Bol Bol,PF,23,ORL,70,3.7,.546,.577,9.1
Jalen Duren,C,19,DET,67,3.9,.648,.648,9.1
Dorian Finney-Smith,PF,29,DAL,40,3.2,.416,.540,9.1
Josh Green,SG,22,DAL,60,3.4,.537,.626,9.1
Naji Marshall,SF,25,NOP,77,3.2,.433,.490,9.1
Taurean Prince,PF,28,MIN,54,3.3,.467,.565,9.1
Jae'Sean Tate,SF,27,HOU,31,3.5,.480,.509,9.1
Santi Aldama,PF,22,MEM,77,3.2,.470,.560,9
Jose Alvarado,PG,24,NOP,61,3.3,.411,.496,9
Daniel Gafford,C,24,WAS,78,3.7,.732,.732,9
Terrence Ross,SG,31,PHO,21,3.4,.428,.530,9
Mark Williams,C,21,CHO,43,3.7,.637,.637,9
AJ Griffin,SF,19,ATL,72,3.4,.465,.560,8.9
Jaden Hardy,SG,20,DAL,48,3.0,.438,.533,8.8
Shaquille Harrison,SG,29,POR,5,3.0,.417,.458,8.8
Terance Mann,SG,26,LAC,81,3.4,.519,.593,8.8
Royce O'Neale,SF,29,BRK,76,3.0,.386,.524,8.8
Dennis Smith Jr.,PG,25,CHO,54,3.4,.412,.438,8.8
T.J. McConnell,PG,30,IND,75,3.8,.543,.568,8.7
Jordan Nwora,SF,24,TOT,62,3.1,.436,.533,8.7
Cedi Osman,SF,27,CLE,77,3.1,.451,.560,8.7
Landry Shamet,SG,25,PHO,40,2.8,.377,.502,8.7
Steven Adams,C,29,MEM,42,3.7,.597,.597,8.6
Ayo Dosunmu,SG,23,CHI,80,3.5,.493,.545,8.6
Draymond Green,PF,32,GSW,73,3.4,.527,.570,8.5
Kevin Knox,PF,23,POR,21,3.2,.444,.516,8.5
Kevin Love,PF,34,CLE,41,2.7,.389,.511,8.5
Shake Milton,SG,26,PHI,76,3.2,.479,.535,8.4
Cam Reddish,SF,23,NYK,20,3.1,.449,.511,8.4
Dorian Finney-Smith,PF,29,TOT,66,3.0,.391,.505,8.3
Gary Harris,SG,28,ORL,48,2.9,.450,.603,8.3
Terrence Ross,SG,31,TOT,63,3.2,.430,.532,8.3
Jarred Vanderbilt,PF,23,UTA,52,3.3,.556,.587,8.3
Damion Lee,SG,30,PHO,74,2.7,.442,.564,8.2
Kevin Love,PF,34,TOT,62,2.7,.389,.506,8.2
Georges Niang,PF,29,PHI,78,2.8,.442,.596,8.2
Nick Richards,C,25,CHO,65,3.0,.629,.631,8.2
Aleksej Pokusevski,PF,21,OKC,34,3.2,.434,.510,8.1
Grant Williams,PF,24,BOS,79,2.7,.454,.575,8.1
Jevon Carter,PG,27,MIL,81,3.0,.423,.549,8
Terrence Ross,SG,31,ORL,42,3.1,.431,.533,8
Kemba Walker,PG,32,DAL,9,2.7,.421,.482,8
Kenrich Williams,PF,28,OKC,53,3.4,.517,.590,8
Robert Williams,C,25,BOS,35,3.6,.747,.747,8
Gabe York,SG,29,IND,3,2.7,.381,.524,8
Ochai Agbaji,SG,22,UTA,59,2.8,.427,.532,7.9
Chris Duarte,SF,25,IND,46,2.7,.369,.452,7.9
Reggie Jackson,PG,32,DEN,16,3.1,.383,.457,7.9
Jarred Vanderbilt,PF,23,TOT,78,3.2,.548,.580,7.9
Duane Washington Jr.,SG,22,PHO,31,3.0,.367,.445,7.9
Jeff Green,PF,36,DEN,56,2.9,.488,.534,7.8
Luke Kennard,SG,26,LAC,35,2.8,.464,.604,7.8
Will Barton,SG,32,WAS,40,2.8,.386,.477,7.7
Kevin Love,PF,34,MIA,21,2.6,.388,.496,7.7
Tre Mann,PG,21,OKC,67,2.9,.393,.474,7.7
Pat Connaughton,SF,30,MIL,61,2.7,.392,.521,7.6
Joe Harris,SF,31,BRK,74,2.7,.457,.618,7.6
Trey Lyles,PF,27,SAC,74,2.5,.458,.565,7.6
Kendrick Nunn,SG,27,WAS,31,2.9,.447,.543,7.5
Mason Plumlee,C,32,LAC,23,2.8,.727,.727,7.5
Josh Richardson,SG,29,NOP,23,2.7,.419,.530,7.5
T.J. Warren,PF-SF,29,TOT,42,3.1,.489,.530,7.5
Torrey Craig,PF,32,PHO,79,2.9,.456,.556,7.4
Devonte' Graham,PG,27,TOT,73,2.2,.374,.512,7.4
Mitchell Robinson,C,24,NYK,59,3.2,.671,.671,7.4
Dario Šarić,C,28,OKC,20,2.6,.515,.606,7.4
