date,price,diff
10/28/2024,56.52371979,-0.257328033
10/29/2024,55.41521835,-1.108501434
10/30/2024,55.16778564,-0.247432709
10/31/2024,55.19747543,0.029689789
11/1/2024,55.98926163,0.791786194
11/4/2024,55.69234467,-0.296916962
11/5/2024,56.80084229,1.10849762
11/6/2024,59.18610001,2.385257721
11/7/2024,58.70113373,-0.484966278
11/8/2024,59.29497147,0.593837738
11/11/2024,58.98815536,-0.306816101
11/12/2024,59.06733704,0.079181671
11/13/2024,58.96836472,-0.098972321
11/14/2024,58.4734993,-0.494865417
11/15/2024,57.73710251,-0.73639679
11/18/2024,57.77690887,0.039806366
11/19/2024,57.81671143,0.039802551
11/20/2024,57.32910538,-0.487606049
11/21/2024,58.29437637,0.965270996
11/22/2024,58.93125534,0.636878967
11/25/2024,59.79701233,0.865756989
11/26/2024,60.27466965,0.477657318
11/27/2024,60.20501328,-0.069656372
11/29/2024,60.7821846,0.577171326
12/2/2024,59.85671997,-0.92546463
12/3/2024,59.67759705,-0.179122925
12/4/2024,59.6178894,-0.059707642
12/5/2024,60.41398621,0.796096802
12/6/2024,58.94120407,-1.472782135
12/9/2024,57.48832321,-1.452880859
12/10/2024,60.4338913,2.945568085
12/11/2024,61.03096771,0.597076416
12/12/2024,62.99135971,1.960391998
12/13/2024,61.75740814,-1.233951569
12/16/2024,61.71760178,-0.039806366
12/17/2024,60.87174225,-0.845859528
12/18/2024,60.59310913,-0.278633118
12/19/2024,60.66276932,0.069660187
12/20/2024,61.54842758,0.885658264
12/23/2024,60.66276932,-0.885658264
12/24/2024,61.52853012,0.865760803
12/26/2024,62.45399094,0.925460815
12/27/2024,62.03604126,-0.417949677
12/30/2024,60.9314537,-1.104587555
